arb_id,status,created_at
25809015,inactive,7/21/2015
25842428,inactive,7/21/2015
25855259,inactive,7/24/2015
25855269,inactive,7/24/2015
25875162,inactive,7/25/2015
25895523,inactive,7/26/2015
22255859,inactive,7/26/2015
22255859,inactive,7/26/2015
22368549,inactive,7/26/2015
22368637,inactive,7/27/2015
22368787,inactive,7/27/2015
22368841,inactive,7/30/2015
23498085,inactive,8/2/2015
23973759,inactive,8/6/2015
23974234,inactive,8/6/2015
23974236,inactive,8/6/2015
24701788,inactive,8/7/2015
25447493,inactive,8/8/2015
25447561,inactive,8/8/2015
25463274,inactive,8/10/2015
25471257,inactive,8/11/2015
25480919,inactive,8/12/2015
